read_id	nh
ILLUMINA-075005_0053_FC:3:1:6186:1110#0	1
ILLUMINA-075005_0053_FC:3:1:6204:1110#0	1
ILLUMINA-075005_0053_FC:3:1:6396:1117#0	1
ILLUMINA-075005_0053_FC:3:1:6832:1107#0	1
ILLUMINA-075005_0053_FC:3:1:6892:1114#0	1
ILLUMINA-075005_0053_FC:3:1:7001:1109#0	1
ILLUMINA-075005_0053_FC:3:1:7083:1110#0	1
ILLUMINA-075005_0053_FC:3:1:7791:1115#0	1
ILLUMINA-075005_0053_FC:3:1:8133:1106#0	1
ILLUMINA-075005_0053_FC:3:1:8335:1107#0	1
ILLUMINA-075005_0053_FC:3:1:8385:1113#0	1
ILLUMINA-075005_0053_FC:3:1:8876:1112#0	1
ILLUMINA-075005_0053_FC:3:1:9001:1107#0	1
ILLUMINA-075005_0053_FC:3:1:9075:1106#0	1
ILLUMINA-075005_0053_FC:3:1:9297:1115#0	1
ILLUMINA-075005_0053_FC:3:1:9854:1107#0	1
ILLUMINA-075005_0053_FC:3:1:10152:1117#0	1
ILLUMINA-075005_0053_FC:3:1:10227:1117#0	1
ILLUMINA-075005_0053_FC:3:1:10273:1118#0	1
ILLUMINA-075005_0053_FC:3:1:10344:1106#0	1
ILLUMINA-075005_0053_FC:3:1:10384:1110#0	1
ILLUMINA-075005_0053_FC:3:1:10444:1107#0	1
ILLUMINA-075005_0053_FC:3:1:10736:1112#0	1
ILLUMINA-075005_0053_FC:3:1:11156:1110#0	1
ILLUMINA-075005_0053_FC:3:1:11228:1110#0	1
ILLUMINA-075005_0053_FC:3:1:11360:1115#0	1
ILLUMINA-075005_0053_FC:3:1:11453:1116#0	1
ILLUMINA-075005_0053_FC:3:1:11627:1112#0	1
ILLUMINA-075005_0053_FC:3:1:11814:1112#0	1
ILLUMINA-075005_0053_FC:3:1:12661:1113#0	1
ILLUMINA-075005_0053_FC:3:1:13073:1116#0	1
ILLUMINA-075005_0053_FC:3:1:13341:1109#0	1
ILLUMINA-075005_0053_FC:3:1:13502:1117#0	5
ILLUMINA-075005_0053_FC:3:1:13703:1116#0	1
ILLUMINA-075005_0053_FC:3:1:13939:1115#0	1
ILLUMINA-075005_0053_FC:3:1:13962:1108#0	1
ILLUMINA-075005_0053_FC:3:1:14912:1106#0	1
ILLUMINA-075005_0053_FC:3:1:15046:1109#0	1
ILLUMINA-075005_0053_FC:3:1:15075:1112#0	1
ILLUMINA-075005_0053_FC:3:1:15129:1113#0	1
ILLUMINA-075005_0053_FC:3:1:15858:1110#0	1
ILLUMINA-075005_0053_FC:3:1:16916:1109#0	1
ILLUMINA-075005_0053_FC:3:1:17062:1109#0	1
